nameseq,k1,k2,label
non-NeuroP002366,3.057476076289932,4.0,0
non-NeuroP014978,1.9182958340544893,2.321928094887362,0
non-NeuroP033408,3.2516291673878226,3.459431618637298,0
non-NeuroP007366,3.606238928653389,4.651084443403434,0
non-NeuroP006873,3.8980406555081295,5.71499600835671,0
non-NeuroP001196,3.536886723742169,4.169925001442313,0
non-NeuroP018109,3.5878587982995085,4.623516641218014,0
non-NeuroP022628,2.5,2.8073549220576046,0
non-NeuroP033292,3.521928094887362,4.142664355548851,0
non-NeuroP030983,2.688721875540867,3.459431618637298,0
non-NeuroP008988,2.9139770731827523,3.321928094887362,0
non-NeuroP002460,2.3685225277282065,3.321928094887362,0
non-NeuroP004605,3.1037016960573482,4.247927513443588,0
non-NeuroP054607,2.358938532350277,3.3248629576173574,0
non-NeuroP053068,3.195295934496218,4.058813890331201,0
non-NeuroP051944,3.292770193936991,3.875,0
non-NeuroP007957,2.2877837199410704,3.2516291673878226,0
non-NeuroP014254,3.736437164990341,5.7113293282274835,0
non-NeuroP013519,2.94770277922009,3.0,0
non-NeuroP013978,3.5068905956085183,3.8073549220576055,0
non-NeuroP045523,2.9139770731827523,3.321928094887362,0
non-NeuroP042246,2.721928094887362,3.169925001442312,0
non-NeuroP016314,2.4591479170272446,3.459431618637298,0
non-NeuroP008357,3.4713544870139303,4.058813890331201,0
non-NeuroP024541,3.128085278891395,3.7004397181410926,0
non-NeuroP016355,3.837862421233407,6.1249644240521,0
non-NeuroP011579,2.9735572622751847,3.6644977792004623,0
non-NeuroP016471,2.7321588913645702,3.321928094887362,0
non-NeuroP051766,2.9219280948873623,2.94770277922009,0
non-NeuroP017171,2.4464393446710155,3.169925001442312,0
non-NeuroP023709,3.327819531114783,3.906890595608518,0
non-NeuroP018869,2.058813890331201,2.75,0
non-NeuroP054585,3.5841837197791886,4.247927513443588,0
non-NeuroP042766,3.7407713918234875,4.9375,0
non-NeuroP053295,3.182005814760214,3.7004397181410926,0
non-NeuroP049648,3.2607546627667134,4.461092201874919,0
non-NeuroP004849,2.5654483718208256,3.584962500721156,0
non-NeuroP022041,3.189898095464287,3.8073549220576055,0
non-NeuroP042991,3.948728319971484,6.103750679707036,0
non-NeuroP008646,2.9852281360342525,3.5465935642949384,0
non-NeuroP003148,3.6698510934153434,5.297079327540667,0
non-NeuroP023943,3.6084585933443494,4.889680181354619,0
non-NeuroP032455,3.956640319548742,5.721640821133974,0
non-NeuroP015877,2.9219280948873623,3.169925001442312,0
non-NeuroP015234,3.408694969562842,4.142664355548851,0
non-NeuroP032250,3.546593564294939,3.584962500721156,0
non-NeuroP054953,3.777567157116928,5.234120167580195,0
non-NeuroP030444,2.9219280948873623,3.169925001442312,0
non-NeuroP018334,3.1556390622295662,3.7735572622751845,0
non-NeuroP035642,2.9780948881692613,3.5465935642949384,0
non-NeuroP019486,2.845350936622437,3.321928094887362,0
non-NeuroP054873,3.189898095464287,3.6644977792004623,0
non-NeuroP011600,3.452819531114783,3.906890595608518,0
non-NeuroP052943,3.6686736954407073,5.044394119358456,0
non-NeuroP038665,3.401198540519581,4.932138039759378,0
non-NeuroP001909,2.6258145836939115,3.459431618637298,0
non-NeuroP000712,2.6887218755408666,3.459431618637298,0
non-NeuroP046978,2.8423709931771084,3.7004397181410926,0
non-NeuroP017353,2.2988252450030506,3.7004397181410926,0
non-NeuroP046276,3.039148671903072,3.7004397181410926,0
non-NeuroP047409,2.6542553132150295,3.2806390622295662,0
non-NeuroP013123,2.771902372038559,3.875,0
non-NeuroP008539,3.0,3.640223928941852,0
non-NeuroP007146,2.7395722619867224,3.52164063634332,0
non-NeuroP036393,3.1841837197791887,4.142664355548851,0
non-NeuroP003852,4.023646025740436,6.288014420418481,0
non-NeuroP021553,3.121928094887362,3.169925001442312,0
non-NeuroP053562,2.721928094887362,2.94770277922009,0
non-NeuroP004685,3.5144093452479406,4.720049960644813,0
non-NeuroP018902,3.238901256602631,3.418295834054489,0
