iter	Passed	Remaining
0	4	494
1	8	422
2	11	387
3	15	381
4	19	369
5	23	362
6	27	367
7	31	360
8	35	358
9	39	353
10	43	349
11	47	346
12	50	340
13	54	334
14	59	335
15	62	329
16	67	328
17	70	322
18	75	320
19	78	314
20	83	313
21	86	308
22	90	302
23	94	298
24	100	300
25	104	296
26	109	296
27	113	291
28	116	285
29	120	282
30	125	279
31	129	274
32	133	270
33	136	265
34	142	264
35	147	262
36	151	258
37	155	253
38	159	249
39	163	244
40	166	239
41	170	235
42	173	230
43	177	225
44	181	221
45	184	217
46	188	212
47	193	209
48	197	205
49	200	200
50	204	196
51	208	192
52	212	188
53	216	184
54	219	179
55	223	175
56	230	173
57	233	169
58	237	165
59	243	162
60	246	157
61	250	153
62	255	149
63	258	145
64	263	141
65	266	137
66	269	132
67	275	129
68	278	125
69	284	122
70	288	117
71	292	113
72	296	109
73	300	105
74	303	101
75	308	97
76	311	93
77	315	88
78	319	84
79	322	80
80	326	76
81	330	72
82	334	68
83	338	64
84	342	60
85	345	56
86	349	52
87	353	48
88	357	44
89	361	40
90	364	36
91	368	32
92	372	28
93	375	23
94	379	19
95	384	16
96	388	12
97	391	7
98	395	3
99	400	0
