nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,label
non-NeuroP002366,5.222222222222222,3.5555555555555554,-0.11869918699186992,6.0,2.0,1.4989708403591155,2.3055555555555554,0.5714285714285714,0.44999999999999996,16.0,14.0,17.0,0.42889383999256864,0.4519858553707883,0.7032214506172839,1.2500000000000002,0.4444444444444444,5.0,4.0,5.1875,0.42889383999256875,4.0,3.4444444444444446,3.0,3.5555555555555554,9.0,35.0,1.8749999999999998,-0.07142857142856837,2.0,1.0,0.33071891388307384,5.666666666666667,0.0,0.0,15.0,14.0,13.0,0.6773719654662135,0.184744649153734,0.5625000000000001,1.0,0.125,15.0,11.499999999999998,45.333333333333336,0.6773719654662134,2.0,2.8749999999999996,8.0,1.8749999999999998,16.0,30.333333333333336,1.8666666666666665,-0.07692307692308001,2.0,1.0,0.3399346342395189,5.333333333333333,0.0,0.0,14.0,13.0,12.0,0.67687802584059,0.1962830907733018,0.5666666666666668,1.0,0.13333333333333333,14.0,10.733333333333334,40.0,0.6768780258405911,2.0,2.8666666666666663,7.0,1.8666666666666665,15.0,0
non-NeuroP014978,0.5,2.5,0.0,4.0,1.0,1.118033988749895,1.3333333333333333,0.7777777777777777,0.6000000000000001,5.0,3.0,1.0,0.559828418731869,0.775,0.90625,1.0,0.8333333333333334,2.0,1.75,1.6,0.559828418731869,3.0,3.0,1.0,2.5,4.0,1.9999999999999998,1.6,-0.3333333333333333,2.0,1.0,0.4898979485566356,2.0,0.0,0.0,4.0,3.0,2.0,0.7464101615137755,0.521904761904762,0.7,1.0,0.4,4.0,3.2,5.0,0.7464101615137754,2.0,2.6,2.0,1.6,5.0,1.0,1.5,-0.500000000000003,2.0,1.0,0.5,1.6666666666666667,0.0,0.0,3.0,2.0,1.0,0.8090169943749472,0.625,0.75,1.0,0.5,3.0,2.5,3.3333333333333335,0.8090169943749475,2.0,2.5,2.0,1.5,4.0,0
non-NeuroP033408,7.6,2.2,-0.03623188405797066,4.0,1.0,0.9797958971132713,2.688888888888889,0.3095238095238096,0.21428571428571427,11.0,12.0,17.0,0.4738247446845809,0.3908372270312807,0.71875,1.1818181818181819,0.24444444444444446,6.0,4.6,11.0,0.4738247446845807,4.0,2.9999999999999996,3.0,2.2,10.0,15.0,1.8181818181818181,-0.11111111111110837,2.0,1.0,0.385694607919935,4.0,0.0,0.0,10.0,9.0,8.0,0.6905231011568317,0.26163358208418996,0.5909090909090909,1.0,0.18181818181818182,10.0,7.7272727272727275,22.0,0.6905231011568316,2.0,2.818181818181818,5.0,1.8181818181818181,11.0,12.0,1.7999999999999998,-0.12500000000000056,2.0,1.0,0.4,3.6666666666666665,0.0,0.0,9.0,8.0,7.0,0.7026674183332269,0.28537983144434753,0.6000000000000001,1.0,0.2,9.0,7.0,18.333333333333332,0.7026674183332269,2.0,2.8,5.0,1.7999999999999998,10.0,0
non-NeuroP007366,7.357142857142855,4.142857142857143,-0.19985974754558133,12.0,2.0,2.5314350209527645,2.131868131868132,0.22465986394557821,0.2272727272727273,29.0,56.0,146.0,0.3675541853071323,0.48388128637489247,0.46700699955908287,1.4827586206896555,0.3186813186813187,4.0,3.285714285714286,6.689655172413793,0.3675541853071323,12.0,4.142857142857142,2.0,4.142857142857143,14.0,55.26923076923078,2.1538461538461537,0.08117443868739276,4.0,1.0,0.7174906963914472,5.421538461538462,0.0,0.0,28.0,33.0,45.0,0.18187386008074177,0.19293283577454437,0.5192307692307694,1.0714285714285716,0.08615384615384615,14.0,10.961538461538463,62.92857142857142,0.18187386008074188,4.0,3.076923076923077,7.0,2.1538461538461537,26.0,91.5185185185185,1.9999999999999998,-0.2692307692307707,4.0,1.0,0.4714045207910317,8.03988603988604,0.0,0.0,27.0,30.0,35.0,0.21758585080953413,0.1295758403274005,0.5277777777777778,1.0,0.07692307692307693,21.0,16.592592592592595,104.51851851851853,0.21758585080953458,4.0,3.0,11.0,1.9999999999999998,27.0,0
non-NeuroP006873,9.263157894736842,7.578947368421052,0.2780089784742835,24.0,2.0,5.77941710294918,2.0292397660818713,0.27376775271512116,0.32673267326732675,72.0,158.0,556.0,0.2356070277778789,0.504340916763326,0.38820209966052693,2.055555555555555,0.42105263157894735,4.0,3.421052631578948,4.819444444444445,0.2356070277778789,20.0,5.631578947368421,3.0,7.578947368421052,19.0,143.42105263157893,2.491228070175438,0.17253079589879766,8.0,1.0,1.15656489290172,6.12218045112782,0.02147108843537415,0.022900763358778626,71.0,129.0,331.0,0.16604524592429484,0.16903625293131005,0.467291818957115,1.028169014084507,0.04448621553884712,14.0,11.421052631578942,137.61971830985908,0.1660452459242949,8.0,3.421052631578948,9.0,2.491228070175438,57.0,762.3857142857142,2.0000000000000013,-0.014492753623178858,4.0,1.0,0.29277002188455997,23.098136645962732,0.0,0.0,70.0,73.0,77.0,0.07423962611563065,0.04519209668586519,0.5107142857142858,1.0,0.028985507246376812,66.0,50.199999999999996,796.8857142857141,0.0742396261156305,4.0,3.0000000000000013,33.0,2.0000000000000013,70.0,0
non-NeuroP001196,8.076923076923077,2.7692307692307696,-0.10000000000000048,6.0,2.0,1.2498520622516862,2.3461538461538463,0.2527777777777778,0.23684210526315788,18.0,32.0,63.0,0.4481040345347129,0.4404082639040059,0.5365251068376068,1.1111111111111112,0.23076923076923075,5.0,3.846153846153846,10.166666666666666,0.4481040345347129,6.0,3.6153846153846154,3.0,2.7692307692307696,13.0,45.33333333333333,1.8888888888888886,-0.06249999999999649,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356121,0.16530820971063842,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.6727536436356117,2.0,2.888888888888888,9.0,1.8888888888888886,18.0,40.00000000000001,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6723560178094916,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6723560178094902,2.0,2.88235294117647,8.0,1.8823529411764703,17.0,0
non-NeuroP018109,6.857142857142857,3.714285714285714,0.048091839900713466,8.0,1.0,2.152359881902766,2.0549450549450547,0.17692307692307693,0.17391304347826086,26.0,61.0,162.0,0.39385093171350066,0.5003840376275902,0.47508762102724694,1.307692307692308,0.2857142857142857,4.0,3.0,7.1923076923076925,0.3938509317135008,8.0,4.285714285714286,2.0,3.714285714285714,14.0,66.80000000000001,2.0,-0.02040816326530381,3.0,1.0,0.282842712474619,6.566666666666666,0.0,0.0,25.0,26.0,28.0,0.31988633052141296,0.15888035667303896,0.5133333333333334,1.0,0.08333333333333333,17.0,13.28,78.8,0.3198863305214127,3.0,2.9999999999999996,9.0,2.0,25.0,92.0,1.9199999999999997,-0.043478260869555065,2.0,1.0,0.2712931993250107,8.666666666666666,0.0,0.0,24.0,23.0,22.0,0.661278830602289,0.12081583480840377,0.5400000000000001,1.0,0.08,24.0,18.240000000000002,108.33333333333333,0.6612788306022923,2.0,2.9199999999999995,12.0,1.9199999999999997,25.0,0
non-NeuroP022628,3.3333333333333335,2.3333333333333335,-0.244444444444445,4.0,1.0,0.9428090415820634,2.3333333333333335,0.0,0.0,7.0,4.0,3.0,0.37820324248598536,0.44781144781144777,0.6759259259259258,1.2857142857142856,0.4666666666666667,5.0,4.0,5.0,0.3782032424859853,3.0,2.6666666666666665,3.0,2.3333333333333335,6.0,5.0,1.7142857142857144,-0.19999999999999551,2.0,1.0,0.45175395145262565,2.6666666666666665,0.0,0.0,6.0,5.0,4.0,0.7181913560179785,0.3920722135007849,0.6428571428571428,1.0,0.2857142857142857,6.0,4.714285714285714,9.333333333333334,0.7181913560179783,2.0,2.714285714285714,3.0,1.7142857142857144,7.0,3.3333333333333335,1.6666666666666667,-0.2500000000000007,2.0,1.0,0.4714045207910317,2.3333333333333335,0.0,0.0,5.0,4.0,3.0,0.7489932012391554,0.4478114478114478,0.6666666666666666,1.0,0.33333333333333337,5.0,4.0,7.0,0.7489932012391557,2.0,2.6666666666666665,3.0,1.6666666666666667,6.0,0
non-NeuroP033292,8.153846153846155,2.923076923076923,0.2383966244725738,8.0,2.0,1.6853001769389726,2.358974358974359,0.0,0.0,19.0,33.0,68.0,0.18141027232576729,0.432846058151982,0.423076923076923,1.105263157894737,0.24358974358974358,5.0,3.923076923076923,9.684210526315786,0.18141027232576723,4.0,3.615384615384616,3.0,2.923076923076923,13.0,45.33333333333333,2.0,0.41176470588235436,4.0,1.0,0.5773502691896257,6.333333333333333,0.0,0.0,18.0,16.0,15.0,0.13399866346542752,0.1653082097106384,0.5555555555555557,1.0,0.11764705882352941,17.0,13.0,53.833333333333336,0.13399866346542746,2.0,2.8888888888888884,9.0,2.0,18.0,45.33333333333333,1.8888888888888886,-0.06249999999999649,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356127,0.16530820971063845,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.6727536436356117,2.0,2.8888888888888884,9.0,1.8888888888888886,18.0,0
non-NeuroP030983,2.0,3.142857142857143,-0.19871794871794654,5.0,1.0,1.3552618543578767,1.6666666666666667,0.6666666666666666,0.5217391304347826,11.0,15.0,18.0,0.6354637126018641,0.6224275724275724,0.6743080357142857,1.1818181818181819,0.5238095238095238,3.0,2.5714285714285716,3.181818181818181,0.6354637126018637,5.0,3.857142857142857,2.0,3.142857142857143,7.0,15.0,1.8181818181818181,-0.11111111111110837,2.0,1.0,0.38569460791993504,4.0,0.0,0.0,10.0,9.0,8.0,0.6905231011568318,0.26163358208418996,0.5909090909090909,1.0,0.18181818181818182,10.0,7.727272727272726,22.0,0.6905231011568324,2.0,2.8181818181818175,5.0,1.8181818181818181,11.0,12.0,1.7999999999999998,-0.12500000000000056,2.0,1.0,0.4,3.6666666666666665,0.0,0.0,9.0,8.0,7.0,0.7026674183332271,0.28537983144434753,0.6000000000000001,1.0,0.2,9.0,7.0,18.333333333333332,0.7026674183332269,2.0,2.8,5.0,1.7999999999999998,10.0,0
