nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,label
NP04987,7.0,1.75,-0.1666666666666685,2.0,1.0,0.4330127018922193,3.0,0.0,0.0,7.0,6.0,5.0,0.719846310392954,0.34864267676767674,0.625,1.0,0.25,7.0,5.5,12.0,0.7198463103929539,2.0,2.7499999999999996,4.0,1.75,8.0,5.0,1.7142857142857144,-0.19999999999999551,2.0,1.0,0.45175395145262565,2.6666666666666665,0.0,0.0,6.0,5.0,4.0,0.7181913560179781,0.39207221350078497,0.6428571428571428,1.0,0.2857142857142857,6.0,4.714285714285714,9.333333333333334,0.7181913560179785,2.0,2.714285714285714,3.0,1.7142857142857144,7.0,3.3333333333333335,1.6666666666666667,-0.2500000000000007,2.0,1.0,0.4714045207910317,2.3333333333333335,0.0,0.0,5.0,4.0,3.0,0.7489932012391557,0.44781144781144777,0.6666666666666666,1.0,0.33333333333333337,5.0,4.0,7.0,0.7489932012391554,2.0,2.666666666666667,3.0,1.6666666666666667,6.0,1
NP05606,6.777777777777778,2.0000000000000004,-0.12500000000000175,4.0,1.0,0.816496580927726,2.6944444444444446,0.3095238095238096,0.25,9.0,10.0,12.0,0.4547623506539036,0.3893316525084116,0.7013888888888888,1.0,0.25,6.0,4.777777777777778,10.777777777777779,0.4547623506539034,4.0,3.0000000000000004,3.0,2.0000000000000004,9.0,9.333333333333334,1.7777777777777777,-0.14285714285714285,2.0,1.0,0.41573970964154905,3.3333333333333335,0.0,0.0,8.0,7.0,6.0,0.7015279460750048,0.31386000121632307,0.6111111111111112,1.0,0.2222222222222222,8.0,6.222222222222222,14.999999999999998,0.701527946075005,2.0,2.7777777777777772,4.0,1.7777777777777777,9.0,7.0,1.75,-0.1666666666666685,2.0,1.0,0.4330127018922193,3.0,0.0,0.0,7.0,6.0,5.0,0.719846310392954,0.34864267676767674,0.625,1.0,0.25,7.0,5.499999999999999,12.0,0.719846310392954,2.0,2.75,4.0,1.75,8.0,1
NP03263,0.6000000000000001,4.8,-0.5483870967741957,8.0,3.0,1.7204650534085253,1.3,0.7666666666666666,0.6428571428571428,12.0,8.0,5.0,0.7057288491185145,0.7866666666666666,0.7423385416666667,2.0,1.2,2.0,1.8,1.0833333333333333,0.7057288491185144,8.0,3.8,1.0,4.8,5.0,7.333333333333333,2.4444444444444446,-0.5,4.0,1.0,1.1653431646335017,2.8333333333333335,0.27777777777777773,0.25,11.0,10.0,9.0,0.4195291466000995,0.36657584401359566,0.7430555555555556,1.3636363636363635,0.3055555555555556,6.0,4.888888888888889,9.272727272727273,0.4195291466000991,4.0,3.0,3.0,2.4444444444444446,9.0,10.0,2.0,-0.3580246913580234,4.0,1.0,0.7745966692414834,3.2222222222222223,0.2708333333333333,0.23076923076923078,10.0,11.0,11.0,0.39814881206411595,0.32304971475393673,0.6812500000000001,1.0,0.2222222222222222,7.0,5.8,14.5,0.3981488120641161,4.0,2.9999999999999996,4.0,2.0,10.0,1
NP03547,1.4285714285714286,6.0,-0.18999999999999925,17.0,1.0,4.9856938190329,1.4761904761904763,0.8055555555555555,0.5454545454545454,21.0,21.0,24.0,0.38342822708966384,0.7051329622758193,0.805907338400236,1.952380952380952,1.0,2.0,1.8571428571428572,1.4761904761904758,0.3834282270896638,11.0,4.142857142857143,1.0,6.0,7.0,15.499999999999998,2.5,-0.09559613319011818,6.0,1.0,1.2747548783981961,3.066666666666667,0.0,0.0,20.0,28.0,44.0,0.2049890822983097,0.3303268074052654,0.515625,1.1000000000000003,0.16666666666666666,6.0,5.1875,18.4,0.2049890822983095,4.0,3.25,4.0,2.5,16.0,31.263157894736842,1.9999999999999998,-0.055555555555556545,4.0,1.0,0.5619514869490163,4.473684210526316,0.0,0.0,19.0,22.0,29.0,0.3095073054792974,0.23344679482263309,0.5394736842105263,1.0,0.1111111111111111,11.0,8.526315789473685,40.26315789473684,0.30950730547929706,4.0,3.0,6.0,1.9999999999999998,19.0,1
NP00699,6.421052631578947,8.105263157894738,-0.0016811431773583443,15.0,2.0,3.8236760604107727,1.713450292397661,0.4635680109364319,0.46099290780141844,77.0,293.0,1235.0,0.5473001751023732,0.5944875986393421,0.31314025114480093,1.3116883116883111,0.4502923976608187,3.0,2.578947368421052,3.805194805194806,0.5473001751023732,15.0,7.526315789473684,2.0,8.105263157894738,19.0,374.30555555555554,2.1111111111111125,0.1389978213507618,4.0,1.0,0.48749802152178456,11.543818466353677,0.030516431924882625,0.03225806451612903,76.0,91.0,128.0,0.08888904562012744,0.09164480422622015,0.5054976851851853,1.0,0.029733959311424103,36.0,26.583333333333336,388.2368421052633,0.0888890456201257,4.0,3.1111111111111125,18.0,2.1111111111111125,72.0,925.0000000000001,1.973684210526316,-0.013513513513466528,2.0,1.0,0.16007269816574263,25.666666666666668,0.0,0.0,75.0,74.0,73.0,0.6450410872294435,0.040799370516906165,0.513157894736842,1.0,0.02631578947368421,75.0,56.499999999999986,975.3333333333334,0.6450410872294908,2.0,2.9736842105263155,38.0,1.973684210526316,76.0,1
NP01395,1.5,2.3333333333333335,-0.5555555555555569,4.0,1.0,0.9428090415820634,1.6,0.3,0.25,7.0,10.0,10.0,0.6953529835636798,0.6421957671957672,0.6244212962962964,1.0,0.4666666666666667,3.0,2.333333333333333,3.4285714285714284,0.6953529835636797,4.0,3.3333333333333335,2.0,2.3333333333333335,6.0,5.0,1.7142857142857144,-0.19999999999999551,2.0,1.0,0.45175395145262565,2.6666666666666665,0.0,0.0,6.0,5.0,4.0,0.7181913560179782,0.39207221350078497,0.6428571428571428,1.0,0.2857142857142857,6.0,4.714285714285714,9.333333333333334,0.7181913560179781,2.0,2.714285714285714,3.0,1.7142857142857144,7.0,3.3333333333333335,1.6666666666666667,-0.2500000000000007,2.0,1.0,0.4714045207910317,2.3333333333333335,0.0,0.0,5.0,4.0,3.0,0.7489932012391554,0.44781144781144777,0.6666666666666666,1.0,0.33333333333333337,5.0,4.0,7.0,0.7489932012391556,2.0,2.666666666666667,3.0,1.6666666666666667,6.0,1
NP03735,7.461538461538461,3.3846153846153846,-0.11573472041612508,6.0,1.0,1.3888823142513682,2.2435897435897436,0.0606060606060606,0.07500000000000001,22.0,38.0,84.0,0.491112030939965,0.4580628152436479,0.4822088675213675,1.3636363636363635,0.28205128205128205,4.0,3.6153846153846154,7.954545454545455,0.49111203093996514,6.0,3.769230769230769,3.0,3.3846153846153846,13.0,46.761904761904766,1.9999999999999998,-0.049999999999999455,4.0,1.0,0.5345224838248488,5.6761904761904765,0.0,0.0,21.0,24.0,31.0,0.27853823785070264,0.1856519843881757,0.5357142857142857,1.0,0.1,15.0,11.571428571428571,56.761904761904766,0.27853823785070236,4.0,2.9999999999999996,8.0,1.9999999999999998,21.0,63.33333333333333,1.9047619047619044,-0.05263157894736695,2.0,1.0,0.2935435239509036,7.333333333333333,0.0,0.0,20.0,19.0,18.0,0.6658012835764636,0.14277509829523638,0.5476190476190478,1.0,0.09523809523809523,20.0,15.238095238095237,77.0,0.6658012835764636,2.0,2.904761904761904,10.0,1.9047619047619044,21.0,1
NP04681,1.714285714285714,2.857142857142857,-0.3907284768211904,5.0,2.0,1.124858267715973,1.5714285714285714,0.4714285714285714,0.3913043478260869,10.0,17.0,22.0,0.6569994609030684,0.6521026592455164,0.5854960317460317,1.0,0.4761904761904762,3.0,2.285714285714286,3.3,0.6569994609030685,5.0,3.857142857142857,2.0,2.857142857142857,7.0,12.0,1.7999999999999998,-0.12500000000000056,2.0,1.0,0.4,3.6666666666666665,0.0,0.0,9.0,8.0,7.0,0.702667418333227,0.28537983144434753,0.6000000000000001,1.0,0.2,9.0,7.0,18.333333333333332,0.7026674183332269,2.0,2.7999999999999994,5.0,1.7999999999999998,10.0,9.333333333333334,1.7777777777777777,-0.14285714285714285,2.0,1.0,0.41573970964154905,3.3333333333333335,0.0,0.0,8.0,7.0,6.0,0.7015279460750047,0.313860001216323,0.6111111111111112,1.0,0.2222222222222222,8.0,6.222222222222222,14.999999999999998,0.7015279460750049,2.0,2.7777777777777777,4.0,1.7777777777777777,9.0,1
NP00309,3.857142857142857,2.0,-0.07692307692307615,3.0,1.0,0.5345224838248488,2.2857142857142856,0.0,0.0,7.0,8.0,7.0,0.6324776898025886,0.4554131958267296,0.5476190476190477,1.0,0.3333333333333333,5.0,4.0,6.857142857142857,0.6324776898025883,3.0,3.0,3.0,2.0,7.0,5.000000000000001,1.7142857142857144,-0.19999999999999551,2.0,1.0,0.45175395145262565,2.6666666666666665,0.0,0.0,6.0,5.0,4.0,0.7181913560179782,0.3920722135007849,0.6428571428571428,1.0,0.2857142857142857,6.0,4.714285714285714,9.333333333333334,0.7181913560179785,2.0,2.714285714285714,3.0,1.7142857142857144,7.0,3.333333333333333,1.6666666666666667,-0.2500000000000007,2.0,1.0,0.4714045207910317,2.3333333333333335,0.0,0.0,5.0,4.0,3.0,0.7489932012391556,0.4478114478114478,0.6666666666666666,1.0,0.33333333333333337,5.0,4.0,7.0,0.7489932012391556,2.0,2.666666666666667,3.0,1.6666666666666667,6.0,1
NP05687,10.600000000000001,2.2000000000000006,-0.03529411764705902,4.0,1.0,0.7483314773547882,3.3555555555555556,0.20833333333333331,0.25,11.0,10.0,9.0,0.3549740939047346,0.3106563391870953,0.6371527777777778,1.1818181818181819,0.24444444444444446,8.0,6.300000000000001,13.727272727272728,0.35497409390473467,4.0,3.0,4.0,2.2000000000000006,10.0,15.000000000000002,1.8181818181818181,-0.11111111111110837,2.0,1.0,0.38569460791993504,4.0,0.0,0.0,10.0,9.0,8.0,0.6905231011568318,0.26163358208418996,0.5909090909090909,1.0,0.18181818181818182,10.0,7.7272727272727275,22.0,0.6905231011568317,2.0,2.8181818181818175,5.0,1.8181818181818181,11.0,12.0,1.7999999999999998,-0.12500000000000056,2.0,1.0,0.4,3.6666666666666665,0.0,0.0,9.0,8.0,7.0,0.7026674183332271,0.2853798314443476,0.6000000000000001,1.0,0.2,9.0,7.0,18.333333333333332,0.7026674183332274,2.0,2.8,5.0,1.7999999999999998,10.0,1
